id,name,link_fb,link_ig,link_tiktok,followers_fb,followers_ig,followers_tiktok,total_followers,avatar_url
11,🍒 Diệu Nhi  🍒,,https://www.instagram.com/dieu_nhiii,,0,4212541,0,4212541,https://scontent-atl3-3.cdninstagram.com/v/t51.2885-19/524615110_18526860652020835_8240882542413465543_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-atl3-3.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QH5v9FV-s_j_8RItnQMXc4M_w2FUehMLcJJZxD2VvRFJjWqI2Rdi7UgPsb_bjqqZ_U&_nc_ohc=qwMKhc-jz54Q7kNvwFD9mhu&_nc_gid=FNiySRGRDGWCb8ygGlgYBQ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfjOxSJtBmp-4wqz5dIxoYElGa7eDJIdCIvaCnnQkiAcaw&oe=692B58EB&_nc_sid=8b3546
12,Naysilla Mirdad,,https://www.instagram.com/naymirdad,,0,4005509,0,4005509,https://scontent-ord5-2.cdninstagram.com/v/t51.2885-19/451973559_516247960841667_7090020411492636389_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QGsgpbRBqisizJmae8nNod7nXEvQDgVEzVgkCTqcB0T8Vxx96ol0bFauKSA_d4wrIQ&_nc_ohc=y2O-82PqRQIQ7kNvwEJCXfR&_nc_gid=uQKyElSRIx6VaklypSj1dg&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfhAIs9apzxt4E1m7igcLRfVKtkYh1MQEqYgpEuZj1Jk9w&oe=692B4FD2&_nc_sid=8b3546
13,Chou Chou 🐮,,https://www.instagram.com/chaubui_,,0,3894891,0,3894891,https://instagram.fsac1-2.fna.fbcdn.net/v/t51.2885-19/555443003_18537203425044413_6794858517427361613_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fsac1-2.fna.fbcdn.net&_nc_cat=105&_nc_oc=Q6cZ2QHL8R3JbmqbbBA5GEWTK6kIkeL3EjscpYZpO2qgccBh-funCbh-AykDuJl2C0GZfsE&_nc_ohc=71X4JIDuNosQ7kNvwGc2KjF&_nc_gid=kRXtR4I3g-7_ZsaHxR54rQ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfguMSTKe-hwwma8LD6nEoHpMpkQB6qkLYi2KG2FWhoMvA&oe=692B75DD&_nc_sid=8b3546
14,Nhuan Dao✨Calligraphy & Lettering❤️,,https://www.instagram.com/nhuandaocalligraphy,,0,3594778,0,3594778,https://scontent-atl3-3.cdninstagram.com/v/t51.2885-19/28753004_236393873603337_4603089323556864000_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby45NjAuYzIifQ&_nc_ht=scontent-atl3-3.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QEsApVlOQDNSONikIBebCCIE43rLgCpo9ox7Rky01R7eGQbuV1vMYi776wYv99hhuo&_nc_ohc=ajzVp6MvZmAQ7kNvwG802SS&_nc_gid=IJfA8t068tSyK-epRdCJVw&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Afh-m-O1_FbAFell3qQoFFMkQsQuBUsjyRg4S1PpgPuOgw&oe=692B402F&_nc_sid=8b3546
15,Surbhi Rathore,,https://www.instagram.com/surbhirathore3_,,0,3493064,0,3493064,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-19/571448808_18423281131117139_84230266927075819_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QHMbpWJUK5VL8tDo4KYlep-JWsA86s-RBie8YZbVb7oqu8G9Bd9nywVcD7EY7RsWUw&_nc_ohc=IR2QaAwmaiMQ7kNvwGqG7Nx&_nc_gid=kSrE7FSygq_guIWSDXi1NA&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfjqJeVl25QQjy2ElncyH5eLighI5BJJlARN4JdzCvZgQw&oe=692B6CE3&_nc_sid=8b3546
16,HỒ NGỌC HÀ,,https://www.instagram.com/hongocha,,0,3448033,0,3448033,https://scontent-mia3-1.cdninstagram.com/v/t51.2885-19/408850785_353378580674387_6891489484377569962_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-mia3-1.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QEcnKvnJObaaL6rfQ5Jb4tukrJnKzeS0F1-YxyRp7sFOJV1zNmMoxqBXHcqq4T4V9U&_nc_ohc=RibPhIKHQIEQ7kNvwGhvusX&_nc_gid=6k4tc_GhYYD-9sREZUy9jw&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfigeGBQv6gPTXPbur87y6oDj-bq_iB4viSrLsb_J0lfwA&oe=692B744D&_nc_sid=8b3546
17,JUST ADULTING | SHIRAZ BAGHLA,,https://www.instagram.com/just.adulting,,0,3261462,0,3261462,https://instagram.fagc3-2.fna.fbcdn.net/v/t51.2885-19/509001015_18398397778113313_841843470417165125_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fagc3-2.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2QFyWus3cnwdvVPjopQbKf0N0fp1Oop0Yh4ROAQHxl4AYoLMbJtummP1aAuItHNJOfQ&_nc_ohc=3kb0QR7KYXoQ7kNvwEQGQQM&_nc_gid=tE9i42h0mPZqxXQZ6Wpr5w&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfjV2VhDsKqUQf-_ylM5IFSFRaJwv87TKjPsA2glSfd_yg&oe=692B4EA2&_nc_sid=8b3546
18,Bích Phương,,https://www.instagram.com/bichphuongofficial,,0,3235632,0,3235632,https://instagram.ftpa1-1.fna.fbcdn.net/v/t51.2885-19/554320593_18532301575023721_5962911675021543097_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby44ODIuYzIifQ&_nc_ht=instagram.ftpa1-1.fna.fbcdn.net&_nc_cat=101&_nc_oc=Q6cZ2QEJQ4EZ2NybLTbbZLN1ZQHnbVTbi8mh9tAnB-EkbIlliwS-XvvmwKpefB2Mn8oY7Ks7ct5rKRHX8Ylxgj7Dk510&_nc_ohc=C_b3avPMO4IQ7kNvwGUOzac&_nc_gid=e3W4l9GWAFU1BPrHAmyFoQ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfhwShE_LlgLJ1N2T7nVbXfEembpVyv1q_b-tMtR_RqBKQ&oe=692B75B4&_nc_sid=8b3546
19,TOC TIEN,,https://www.instagram.com/toctien1305,,0,3237068,0,3237068,https://instagram.fhnl3-1.fna.fbcdn.net/v/t51.2885-19/583537274_18546956635061266_8751935959725176658_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmV4cGVyaW1lbnRhbCJ9&_nc_ht=instagram.fhnl3-1.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2QF1bUdQlOgWuUy5iyafBsmPwdNfLLGYCFvMWygPoiGKKquY2z3CPi8F-8hABkJIqqU&_nc_ohc=bqiG-EhrZzEQ7kNvwHOC8GS&_nc_gid=sanHGxXI7_KAPKUKLVqpvg&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Afhbq7qHEBxT7K_7JuIc2OByGeJ7wWdqxsdyZfcaO_9-FQ&oe=692B52EE&_nc_sid=8b3546
20,KEO,,https://www.instagram.com/thekiddkeo,,0,3135207,0,3135207,https://instagram.fmem1-2.fna.fbcdn.net/v/t51.2885-19/531419574_18520894846037303_5549800434503611872_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fmem1-2.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2QHpQQxl4C_CWt8WSsIjsQt9YRpthKe2SwmSxIKQwxo_hMMgB_r0dAwMA0dVC2wuYDEsTYG8Txi24NMuoAUItNCx&_nc_ohc=HVsWeELRWRoQ7kNvwE6cvU9&_nc_gid=4S3qdqiMLZpnjyxP47pZtw&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfiZj_ZRzEYdeWAy0dg7Sy49891WJ3eD0jvW2AHYpobwlQ&oe=692B4C90&_nc_sid=8b3546
21,Ngo Kien Huy,,https://www.instagram.com/ngokienhuy_bap,,0,3103879,0,3103879,https://instagram.fdsm1-1.fna.fbcdn.net/v/t51.2885-19/503104751_18408239086103105_3031003622162176205_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fdsm1-1.fna.fbcdn.net&_nc_cat=105&_nc_oc=Q6cZ2QF6CMWj3km3g_x6Fx-zlvPcTFr84qGxKmmAkaqYbENEc8SFC9oJ-vP1s0VxC86EUH0&_nc_ohc=zr7ygzvNp64Q7kNvwET4O-m&_nc_gid=ivd4iKoaZrm3famtTL7Gfg&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfiiVnHxHm-Swy1ZpX30NPa53HfHIX2UwvzbidzasfONPA&oe=692B4AE3&_nc_sid=8b3546
22,Thiều Bảo Trâm,,https://www.instagram.com/thieubaotram,,0,3010658,0,3010658,https://scontent-iad3-2.cdninstagram.com/v/t51.2885-19/516285878_18517148266020095_5852197069275542980_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby43MjIuYzIifQ&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QEksGsuak5y2ujHtCwVo8QH6nDG1LL1t-PFM5ia8TjWIUgjOyJe-lT3F8EIVD6OjMY&_nc_ohc=PCTClo8oOg0Q7kNvwHfyseW&_nc_gid=UDyBTUIcoyEagoIfUOmHFg&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfjK_oP6dAzPlfRBiU0_ePXY8Hzzz4XBWidyhx6MujtijA&oe=692B60F6&_nc_sid=8b3546
23,Thyahh,,https://www.instagram.com/misthyyyy,,0,2975480,0,2975480,https://scontent-iad3-1.cdninstagram.com/v/t51.2885-19/498642698_18508595587029213_5806326565841076158_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-iad3-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2QFtEkKg32gOHVsINukuotik3mNDP3NUeB1EsbOotS4LjI61LF1CPf4aBXCCxEegPy8&_nc_ohc=-o8m1_3WmFwQ7kNvwEY8KnX&_nc_gid=LnAwSd_UYEIpqU_r09aM-g&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Afgo5wwy43_5na5MNQ0SC0uwuRqWVn5aiHhvZJ_SQ94DSQ&oe=692B4E10&_nc_sid=8b3546
24,Quynh Anh Shyn,,https://www.instagram.com/quynhanhshyn_,,0,2944509,0,2944509,https://scontent-iad3-2.cdninstagram.com/v/t51.2885-19/509672738_18518541628046508_372540311711142334_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-iad3-2.cdninstagram.com&_nc_cat=100&_nc_oc=Q6cZ2QGx58c7a_WXTexuRrEK0blBb2OvJjnnigIgcFOs-KauxhA4oJqaC7JLUF9HcCEqt5c&_nc_ohc=j7UCtHVS4WkQ7kNvwESYmLr&_nc_gid=XiVjXDvbPSrmaJIhCyxDUw&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfjLJ393AUuhH_zgMMuhd8_g9V5-m1RFBHyP3-DbQQm1jQ&oe=692B513F&_nc_sid=8b3546
25,Sơn Hoàng Nguyễn,,https://www.instagram.com/soobin.hoangson,,0,2929753,0,2929753,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-19/553546652_18529367059018975_3432361367007029651_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QHwSrYeVWAQY6725nZxYspJ7SgsAZZ4ScyNE_hNPieWmzMcLesyFVXGXfYFFEBeHCoDENjVS4JtiUrMME9Qps-F&_nc_ohc=LbbY4grMmMUQ7kNvwGLDFDs&_nc_gid=Tgdh1pfZ6HCfkxKq8bFfhA&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfjfwStlAO1bhpILgQSIFgqg6ztZYSJUcKn2MeSrHAAeJw&oe=692B61B2&_nc_sid=8b3546
26,Isaac,,https://www.instagram.com/isaaclion,,0,2735731,0,2735731,https://scontent-atl3-1.cdninstagram.com/v/t51.2885-19/353781458_271331628771432_8675436602987482256_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=100&_nc_oc=Q6cZ2QEsWzDURyZ86JeoHOw15Prs_n9CqdI4lN32ijvpVJYYYuddDHoNrjlQHvsHqaGJGBI&_nc_ohc=iHptIO1kgeAQ7kNvwHnpUgG&_nc_gid=7hx0M3VZcjZy8cF1TpOG8Q&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_Afj0uM97J_UpLmN9NB6ZT11h35mNqZvdpOTGY-_1Q1ugYQ&oe=692B679C&_nc_sid=8b3546
27,Home Gardening,,https://www.instagram.com/gardening.999,,0,2723603,0,2723603,https://scontent-bos5-1.cdninstagram.com/v/t51.2885-19/392913051_329108789770442_2300570002818711927_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby42MDAuYzIifQ&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2QH97XFh8aA3WIf8wgW_1DevePQDmQxkCA6ec8SVidYKPOylkVUgCg4gCPDTqoMIJ6w&_nc_ohc=loHMqmoQKzAQ7kNvwH7xtnd&_nc_gid=B1B0MEPbQz170pw8-biLVg&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfiTk5IT25nvIf2RKEPugMe1vT4iQdgI-nGeW583nSuv2A&oe=692B62B6&_nc_sid=8b3546
28,Đông Nhi,,https://www.instagram.com/singerdongnhi,,0,2684801,0,2684801,https://scontent-mia3-1.cdninstagram.com/v/t51.2885-19/535232881_18521307937007015_313636731668628741_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-mia3-1.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QGqNloJH51uW2wRg7cmbdXuQSFgQjLjCkY7RXI6YGyL9lEywmNvkD3oLNVdhYZ2acY&_nc_ohc=ZXT7jwmXFbcQ7kNvwHsVNAd&_nc_gid=APzL9SfBfQ5B1amVGZkW8g&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfhWpMjoeEfyUTs3WICJzM4WBhpMwE73ZAAri5ye6_Wz5Q&oe=692B54C4&_nc_sid=8b3546
29,Lê Thị Khánh Huyền,,https://www.instagram.com/huyen.204,,0,2662826,0,2662826,https://instagram.flas1-1.fna.fbcdn.net/v/t51.2885-19/561421987_18144229495434530_6298238977772099052_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.flas1-1.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2QFL9fJ7JreJFzSJT-m36KNuvjQHp8AbDuTwnXXdvFWSg0cT1XOq5mXZut3wEwQD2ow&_nc_ohc=xNjUIox7zpAQ7kNvwHDQ2Kh&_nc_gid=ZOA2WRlyFpcV4GLa-0wmhA&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfhtxWc38lp0xdTG4K56CHErMnvd2fpS-zFurLnPq4WiXg&oe=692B406E&_nc_sid=8b3546
30,Phuong Ly,,https://www.instagram.com/may__lily,,0,2610940,0,2610940,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-19/315353668_201024382330987_1164584728607125176_n.jpg?stp=dst-jpg_s320x320_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QFp3fyz1irz6Q9XqiZhzvVo0Fo3wjOauvn_UUgZcaoqLwlZRqliy2BGfSrRgwDCNf8&_nc_ohc=I_XCI2dKycEQ7kNvwFW4Qu1&_nc_gid=R5rW2ZCK5rsFtpVJVj0veQ&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfjmCQqiMgkPalz3vwdEDnV8Trag9iOtH8dfcFGBndmmAw&oe=692B55A2&_nc_sid=8b3546
